0 1 2 3 
0 4 10 14 
0 5 9 12 
0 6 11 13 
0 7 8 15 

0 1 14 15 
0 2 5 7 
0 3 8 11 
0 4 9 13 
0 6 10 12 

0 1 2 3 
0 4 9 13 
0 5 11 14 
0 6 10 12 
0 7 8 15 

0 1 8 9 
0 2 13 15 
0 3 5 6 
0 4 10 14 
0 7 11 12 

0 1 10 11 
0 2 13 15 
0 3 5 6 
0 4 8 12 
0 7 9 14 

0 1 10 11 
0 2 4 6 
0 3 13 14 
0 5 9 12 
0 7 8 15 

0 1 8 9 
0 2 4 6 
0 3 13 14 
0 5 10 15 
0 7 11 12 

0 1 10 11 
0 2 5 7 
0 3 13 14 
0 4 8 12 
0 6 9 15 

0 1 2 3 
0 4 8 12 
0 5 10 15 
0 6 11 13 
0 7 9 14 

0 1 14 15 
0 2 4 6 
0 3 8 11 
0 5 9 12 
0 7 10 13 

0 1 2 3 
0 4 8 12 
0 5 11 14 
0 6 9 15 
0 7 10 13 

0 1 8 9 
0 2 5 7 
0 3 12 15 
0 4 10 14 
0 6 11 13 

0 1 8 9 
0 2 4 6 
0 3 12 15 
0 5 11 14 
0 7 10 13 

0 1 8 9 
0 2 13 15 
0 3 4 7 
0 5 11 14 
0 6 10 12 

0 1 12 13 
0 2 5 7 
0 3 8 11 
0 4 10 14 
0 6 9 15 

0 1 14 15 
0 2 9 11 
0 3 5 6 
0 4 8 12 
0 7 10 13 

0 1 12 13 
0 2 9 11 
0 3 5 6 
0 4 10 14 
0 7 8 15 

0 1 4 5 
0 2 13 15 
0 3 8 11 
0 6 10 12 
0 7 9 14 

0 1 10 11 
0 2 5 7 
0 3 12 15 
0 4 9 13 
0 6 8 14 

0 1 12 13 
0 2 4 6 
0 3 8 11 
0 5 10 15 
0 7 9 14 

0 1 4 5 
0 2 9 11 
0 3 13 14 
0 6 10 12 
0 7 8 15 

0 1 14 15 
0 2 8 10 
0 3 5 6 
0 4 9 13 
0 7 11 12 

0 1 10 11 
0 2 13 15 
0 3 4 7 
0 5 9 12 
0 6 8 14 

0 1 2 3 
0 4 9 13 
0 5 10 15 
0 6 8 14 
0 7 11 12 

0 1 4 5 
0 2 8 10 
0 3 13 14 
0 6 9 15 
0 7 11 12 

0 1 14 15 
0 2 8 10 
0 3 4 7 
0 5 9 12 
0 6 11 13 

0 1 4 5 
0 2 8 10 
0 3 12 15 
0 6 11 13 
0 7 9 14 

0 1 12 13 
0 2 8 10 
0 3 4 7 
0 5 11 14 
0 6 9 15 

0 1 4 5 
0 2 9 11 
0 3 12 15 
0 6 8 14 
0 7 10 13 

0 1 12 13 
0 2 9 11 
0 3 4 7 
0 5 10 15 
0 6 8 14 

